Epoch 1/5
Batch [100/8699], Train Loss: 0.9857, Train Acc: 0.4920
Batch [200/8699], Train Loss: 0.8025, Train Acc: 0.5701
Batch [300/8699], Train Loss: 0.5822, Train Acc: 0.7002
Batch [400/8699], Train Loss: 0.4607, Train Acc: 0.7672
Batch [500/8699], Train Loss: 0.3835, Train Acc: 0.8095
Batch [600/8699], Train Loss: 0.3322, Train Acc: 0.8376
Batch [700/8699], Train Loss: 0.2973, Train Acc: 0.8570
Batch [800/8699], Train Loss: 0.2674, Train Acc: 0.8728
Batch [900/8699], Train Loss: 0.2440, Train Acc: 0.8851
Batch [1000/8699], Train Loss: 0.2267, Train Acc: 0.8946
Batch [1100/8699], Train Loss: 0.2106, Train Acc: 0.9028
Batch [1200/8699], Train Loss: 0.1982, Train Acc: 0.9094
Batch [1300/8699], Train Loss: 0.1863, Train Acc: 0.9153
Batch [1400/8699], Train Loss: 0.1759, Train Acc: 0.9204
Batch [1500/8699], Train Loss: 0.1671, Train Acc: 0.9248
Batch [1600/8699], Train Loss: 0.1606, Train Acc: 0.9284
Batch [1700/8699], Train Loss: 0.1537, Train Acc: 0.9319
Batch [1800/8699], Train Loss: 0.1474, Train Acc: 0.9351
Batch [1900/8699], Train Loss: 0.1418, Train Acc: 0.9378
Batch [2000/8699], Train Loss: 0.1367, Train Acc: 0.9403
Batch [2100/8699], Train Loss: 0.1318, Train Acc: 0.9426
Batch [2200/8699], Train Loss: 0.1276, Train Acc: 0.9448
Batch [2300/8699], Train Loss: 0.1238, Train Acc: 0.9466
Batch [2400/8699], Train Loss: 0.1204, Train Acc: 0.9483
Batch [2500/8699], Train Loss: 0.1168, Train Acc: 0.9500
Batch [2600/8699], Train Loss: 0.1137, Train Acc: 0.9515
Batch [2700/8699], Train Loss: 0.1109, Train Acc: 0.9529
Batch [2800/8699], Train Loss: 0.1081, Train Acc: 0.9542
Batch [2900/8699], Train Loss: 0.1057, Train Acc: 0.9554
Batch [3000/8699], Train Loss: 0.1030, Train Acc: 0.9567
Batch [3100/8699], Train Loss: 0.1009, Train Acc: 0.9578
Batch [3200/8699], Train Loss: 0.0989, Train Acc: 0.9588
Batch [3300/8699], Train Loss: 0.0969, Train Acc: 0.9597
Batch [3400/8699], Train Loss: 0.0949, Train Acc: 0.9607
Batch [3500/8699], Train Loss: 0.0931, Train Acc: 0.9615
Batch [3600/8699], Train Loss: 0.0913, Train Acc: 0.9624
Batch [3700/8699], Train Loss: 0.0897, Train Acc: 0.9632
Batch [3800/8699], Train Loss: 0.0879, Train Acc: 0.9640
Batch [3900/8699], Train Loss: 0.0864, Train Acc: 0.9647
Batch [4000/8699], Train Loss: 0.0849, Train Acc: 0.9654
Batch [4100/8699], Train Loss: 0.0835, Train Acc: 0.9660
Batch [4200/8699], Train Loss: 0.0822, Train Acc: 0.9666
Batch [4300/8699], Train Loss: 0.0810, Train Acc: 0.9672
Batch [4400/8699], Train Loss: 0.0800, Train Acc: 0.9678
Batch [4500/8699], Train Loss: 0.0788, Train Acc: 0.9684
Batch [4600/8699], Train Loss: 0.0776, Train Acc: 0.9689
Batch [4700/8699], Train Loss: 0.0767, Train Acc: 0.9694
Batch [4800/8699], Train Loss: 0.0758, Train Acc: 0.9699
