Epoch 1/5
Batch [100/8699], Train Loss: 0.3311, Train Acc: 0.9575
Batch [200/8699], Train Loss: 0.1919, Train Acc: 0.9698
Batch [300/8699], Train Loss: 0.1398, Train Acc: 0.9759
Batch [400/8699], Train Loss: 0.1145, Train Acc: 0.9787
Batch [500/8699], Train Loss: 0.0997, Train Acc: 0.9806
Batch [600/8699], Train Loss: 0.0878, Train Acc: 0.9825
Batch [700/8699], Train Loss: 0.0796, Train Acc: 0.9837
Batch [800/8699], Train Loss: 0.0727, Train Acc: 0.9848
Batch [900/8699], Train Loss: 0.0682, Train Acc: 0.9855
Batch [1000/8699], Train Loss: 0.0632, Train Acc: 0.9863
Batch [1100/8699], Train Loss: 0.0597, Train Acc: 0.9868
Batch [1200/8699], Train Loss: 0.0564, Train Acc: 0.9873
Batch [1300/8699], Train Loss: 0.0537, Train Acc: 0.9877
Batch [1400/8699], Train Loss: 0.0516, Train Acc: 0.9881
Batch [1500/8699], Train Loss: 0.0488, Train Acc: 0.9887
Batch [1600/8699], Train Loss: 0.0470, Train Acc: 0.9891
Batch [1700/8699], Train Loss: 0.0454, Train Acc: 0.9894
Batch [1800/8699], Train Loss: 0.0441, Train Acc: 0.9897
Batch [1900/8699], Train Loss: 0.0423, Train Acc: 0.9901
Batch [2000/8699], Train Loss: 0.0410, Train Acc: 0.9904
Batch [2100/8699], Train Loss: 0.0397, Train Acc: 0.9906
Batch [2200/8699], Train Loss: 0.0385, Train Acc: 0.9908
Batch [2300/8699], Train Loss: 0.0377, Train Acc: 0.9910
Batch [2400/8699], Train Loss: 0.0366, Train Acc: 0.9912
Batch [2500/8699], Train Loss: 0.0358, Train Acc: 0.9914
Batch [2600/8699], Train Loss: 0.0351, Train Acc: 0.9915
Batch [2700/8699], Train Loss: 0.0345, Train Acc: 0.9916
Batch [2800/8699], Train Loss: 0.0341, Train Acc: 0.9917
Batch [2900/8699], Train Loss: 0.0335, Train Acc: 0.9919
Batch [3000/8699], Train Loss: 0.0330, Train Acc: 0.9919
Batch [3100/8699], Train Loss: 0.0324, Train Acc: 0.9921
Batch [3200/8699], Train Loss: 0.0319, Train Acc: 0.9922
Batch [3300/8699], Train Loss: 0.0314, Train Acc: 0.9923
Batch [3400/8699], Train Loss: 0.0308, Train Acc: 0.9925
Batch [3500/8699], Train Loss: 0.0305, Train Acc: 0.9925
Batch [3600/8699], Train Loss: 0.0300, Train Acc: 0.9926
Batch [3700/8699], Train Loss: 0.0297, Train Acc: 0.9927
Batch [3800/8699], Train Loss: 0.0292, Train Acc: 0.9928
Batch [3900/8699], Train Loss: 0.0289, Train Acc: 0.9929
Batch [4000/8699], Train Loss: 0.0285, Train Acc: 0.9930
Batch [4100/8699], Train Loss: 0.0281, Train Acc: 0.9931
Batch [4200/8699], Train Loss: 0.0277, Train Acc: 0.9932
Batch [4300/8699], Train Loss: 0.0274, Train Acc: 0.9932
Batch [4400/8699], Train Loss: 0.0271, Train Acc: 0.9933
Batch [4500/8699], Train Loss: 0.0268, Train Acc: 0.9934
Batch [4600/8699], Train Loss: 0.0263, Train Acc: 0.9935
Batch [4700/8699], Train Loss: 0.0263, Train Acc: 0.9935
Batch [4800/8699], Train Loss: 0.0260, Train Acc: 0.9935
Batch [4900/8699], Train Loss: 0.0258, Train Acc: 0.9936
Batch [5000/8699], Train Loss: 0.0256, Train Acc: 0.9936
Batch [5100/8699], Train Loss: 0.0253, Train Acc: 0.9937
Batch [5200/8699], Train Loss: 0.0251, Train Acc: 0.9938
Batch [5300/8699], Train Loss: 0.0248, Train Acc: 0.9938
Batch [5400/8699], Train Loss: 0.0247, Train Acc: 0.9939
Batch [5500/8699], Train Loss: 0.0245, Train Acc: 0.9939
Batch [5600/8699], Train Loss: 0.0244, Train Acc: 0.9939
Batch [5700/8699], Train Loss: 0.0242, Train Acc: 0.9940
Batch [5800/8699], Train Loss: 0.0240, Train Acc: 0.9940
Batch [5900/8699], Train Loss: 0.0239, Train Acc: 0.9941
Batch [6000/8699], Train Loss: 0.0236, Train Acc: 0.9941
Batch [6100/8699], Train Loss: 0.0235, Train Acc: 0.9941
Batch [6200/8699], Train Loss: 0.0232, Train Acc: 0.9942
Batch [6300/8699], Train Loss: 0.0230, Train Acc: 0.9942
Batch [6400/8699], Train Loss: 0.0229, Train Acc: 0.9943
Batch [6500/8699], Train Loss: 0.0227, Train Acc: 0.9943
Batch [6600/8699], Train Loss: 0.0225, Train Acc: 0.9944
Batch [6700/8699], Train Loss: 0.0223, Train Acc: 0.9944
Batch [6800/8699], Train Loss: 0.0222, Train Acc: 0.9945
Batch [6900/8699], Train Loss: 0.0221, Train Acc: 0.9945
Batch [7000/8699], Train Loss: 0.0220, Train Acc: 0.9945
Batch [7100/8699], Train Loss: 0.0219, Train Acc: 0.9945
Batch [7200/8699], Train Loss: 0.0218, Train Acc: 0.9945
Batch [7300/8699], Train Loss: 0.0217, Train Acc: 0.9946
Batch [7400/8699], Train Loss: 0.0215, Train Acc: 0.9946
Batch [7500/8699], Train Loss: 0.0215, Train Acc: 0.9946
Batch [7600/8699], Train Loss: 0.0213, Train Acc: 0.9946
Batch [7700/8699], Train Loss: 0.0212, Train Acc: 0.9947
Batch [7800/8699], Train Loss: 0.0211, Train Acc: 0.9947
Batch [7900/8699], Train Loss: 0.0210, Train Acc: 0.9947
Batch [8000/8699], Train Loss: 0.0210, Train Acc: 0.9948
Batch [8100/8699], Train Loss: 0.0208, Train Acc: 0.9948
Batch [8200/8699], Train Loss: 0.0207, Train Acc: 0.9948
Batch [8300/8699], Train Loss: 0.0206, Train Acc: 0.9948
Batch [8400/8699], Train Loss: 0.0205, Train Acc: 0.9949
Batch [8500/8699], Train Loss: 0.0203, Train Acc: 0.9949
Batch [8600/8699], Train Loss: 0.0202, Train Acc: 0.9949
Train Loss: 0.0201, Train Acc: 0.9950
Test Accuracy: 0.9977
Confusion Matrix:
[[71440   205]
 [  114 67412]]
Saved the new best model to ../data/models/80_20_split/pklot_all_mobilenet.pth
Epoch time: 24.8678 minutes and 52.0685 seconds
Epoch 2/5
Batch [100/8699], Train Loss: 0.0103, Train Acc: 0.9969
Batch [200/8699], Train Loss: 0.0070, Train Acc: 0.9980
Batch [300/8699], Train Loss: 0.0088, Train Acc: 0.9973
Batch [400/8699], Train Loss: 0.0099, Train Acc: 0.9970
Batch [500/8699], Train Loss: 0.0105, Train Acc: 0.9972
Batch [600/8699], Train Loss: 0.0115, Train Acc: 0.9967
Batch [700/8699], Train Loss: 0.0124, Train Acc: 0.9966
Batch [800/8699], Train Loss: 0.0121, Train Acc: 0.9968
Batch [900/8699], Train Loss: 0.0117, Train Acc: 0.9969
Batch [1000/8699], Train Loss: 0.0117, Train Acc: 0.9969
Batch [1100/8699], Train Loss: 0.0116, Train Acc: 0.9970
Batch [1200/8699], Train Loss: 0.0117, Train Acc: 0.9970
Batch [1300/8699], Train Loss: 0.0112, Train Acc: 0.9971
Batch [1400/8699], Train Loss: 0.0113, Train Acc: 0.9971
Batch [1500/8699], Train Loss: 0.0112, Train Acc: 0.9971
Batch [1600/8699], Train Loss: 0.0111, Train Acc: 0.9971
Batch [1700/8699], Train Loss: 0.0109, Train Acc: 0.9971
Batch [1800/8699], Train Loss: 0.0107, Train Acc: 0.9972
Batch [1900/8699], Train Loss: 0.0105, Train Acc: 0.9972
Batch [2000/8699], Train Loss: 0.0104, Train Acc: 0.9973
Batch [2100/8699], Train Loss: 0.0103, Train Acc: 0.9973
Batch [2200/8699], Train Loss: 0.0102, Train Acc: 0.9974
Batch [2300/8699], Train Loss: 0.0101, Train Acc: 0.9974
Batch [2400/8699], Train Loss: 0.0102, Train Acc: 0.9974
Batch [2500/8699], Train Loss: 0.0102, Train Acc: 0.9974
Batch [2600/8699], Train Loss: 0.0102, Train Acc: 0.9974
Batch [2700/8699], Train Loss: 0.0103, Train Acc: 0.9973
Batch [2800/8699], Train Loss: 0.0102, Train Acc: 0.9973
Batch [2900/8699], Train Loss: 0.0102, Train Acc: 0.9974
Batch [3000/8699], Train Loss: 0.0103, Train Acc: 0.9974
Batch [3100/8699], Train Loss: 0.0102, Train Acc: 0.9974
Batch [3200/8699], Train Loss: 0.0102, Train Acc: 0.9974
Batch [3300/8699], Train Loss: 0.0101, Train Acc: 0.9974
Batch [3400/8699], Train Loss: 0.0102, Train Acc: 0.9974
Batch [3500/8699], Train Loss: 0.0102, Train Acc: 0.9974
Batch [3600/8699], Train Loss: 0.0102, Train Acc: 0.9974
Batch [3700/8699], Train Loss: 0.0102, Train Acc: 0.9975
Batch [3800/8699], Train Loss: 0.0102, Train Acc: 0.9975
Batch [3900/8699], Train Loss: 0.0102, Train Acc: 0.9974
Batch [4000/8699], Train Loss: 0.0103, Train Acc: 0.9974
Batch [4100/8699], Train Loss: 0.0102, Train Acc: 0.9975
Batch [4200/8699], Train Loss: 0.0102, Train Acc: 0.9975
Batch [4300/8699], Train Loss: 0.0100, Train Acc: 0.9975
Batch [4400/8699], Train Loss: 0.0100, Train Acc: 0.9975
Batch [4500/8699], Train Loss: 0.0098, Train Acc: 0.9976
Batch [4600/8699], Train Loss: 0.0098, Train Acc: 0.9976
Batch [4700/8699], Train Loss: 0.0099, Train Acc: 0.9976
Batch [4800/8699], Train Loss: 0.0099, Train Acc: 0.9976
Batch [4900/8699], Train Loss: 0.0099, Train Acc: 0.9976
Batch [5000/8699], Train Loss: 0.0098, Train Acc: 0.9976
Batch [5100/8699], Train Loss: 0.0099, Train Acc: 0.9976
Batch [5200/8699], Train Loss: 0.0098, Train Acc: 0.9976
Batch [5300/8699], Train Loss: 0.0098, Train Acc: 0.9976
Batch [5400/8699], Train Loss: 0.0098, Train Acc: 0.9976
Batch [5500/8699], Train Loss: 0.0096, Train Acc: 0.9977
Batch [5600/8699], Train Loss: 0.0096, Train Acc: 0.9977
Batch [5700/8699], Train Loss: 0.0095, Train Acc: 0.9977
Batch [5800/8699], Train Loss: 0.0096, Train Acc: 0.9977
Batch [5900/8699], Train Loss: 0.0095, Train Acc: 0.9977
Batch [6000/8699], Train Loss: 0.0095, Train Acc: 0.9977
Batch [6100/8699], Train Loss: 0.0094, Train Acc: 0.9978
Batch [6200/8699], Train Loss: 0.0094, Train Acc: 0.9978
Batch [6300/8699], Train Loss: 0.0094, Train Acc: 0.9978
Batch [6400/8699], Train Loss: 0.0095, Train Acc: 0.9977
Batch [6500/8699], Train Loss: 0.0095, Train Acc: 0.9977
Batch [6600/8699], Train Loss: 0.0094, Train Acc: 0.9977
Batch [6700/8699], Train Loss: 0.0094, Train Acc: 0.9977
Batch [6800/8699], Train Loss: 0.0094, Train Acc: 0.9978
Batch [6900/8699], Train Loss: 0.0094, Train Acc: 0.9978
Batch [7000/8699], Train Loss: 0.0093, Train Acc: 0.9978
Batch [7100/8699], Train Loss: 0.0093, Train Acc: 0.9978
Batch [7200/8699], Train Loss: 0.0093, Train Acc: 0.9978
Batch [7300/8699], Train Loss: 0.0093, Train Acc: 0.9978
Batch [7400/8699], Train Loss: 0.0092, Train Acc: 0.9978
Batch [7500/8699], Train Loss: 0.0091, Train Acc: 0.9978
Batch [7600/8699], Train Loss: 0.0092, Train Acc: 0.9978
Batch [7700/8699], Train Loss: 0.0092, Train Acc: 0.9978
Batch [7800/8699], Train Loss: 0.0092, Train Acc: 0.9978
Batch [7900/8699], Train Loss: 0.0092, Train Acc: 0.9978
Batch [8000/8699], Train Loss: 0.0092, Train Acc: 0.9978
Batch [8100/8699], Train Loss: 0.0091, Train Acc: 0.9979
Batch [8200/8699], Train Loss: 0.0092, Train Acc: 0.9979
Batch [8300/8699], Train Loss: 0.0092, Train Acc: 0.9979
Batch [8400/8699], Train Loss: 0.0091, Train Acc: 0.9979
Batch [8500/8699], Train Loss: 0.0091, Train Acc: 0.9979
Batch [8600/8699], Train Loss: 0.0091, Train Acc: 0.9979
Train Loss: 0.0092, Train Acc: 0.9979
Test Accuracy: 0.9982
Confusion Matrix:
[[71612    33]
 [  223 67303]]
Saved the new best model to ../data/models/80_20_split/pklot_all_mobilenet.pth
Epoch time: 25.5556 minutes and 33.3360 seconds
Epoch 3/5
Batch [100/8699], Train Loss: 0.0116, Train Acc: 0.9978
Batch [200/8699], Train Loss: 0.0090, Train Acc: 0.9982
Batch [300/8699], Train Loss: 0.0101, Train Acc: 0.9979
Batch [400/8699], Train Loss: 0.0092, Train Acc: 0.9981
Batch [500/8699], Train Loss: 0.0095, Train Acc: 0.9980
Batch [600/8699], Train Loss: 0.0095, Train Acc: 0.9980
Batch [700/8699], Train Loss: 0.0094, Train Acc: 0.9981
Batch [800/8699], Train Loss: 0.0095, Train Acc: 0.9981
Batch [900/8699], Train Loss: 0.0093, Train Acc: 0.9982
Batch [1000/8699], Train Loss: 0.0088, Train Acc: 0.9982
Batch [1100/8699], Train Loss: 0.0086, Train Acc: 0.9982
Batch [1200/8699], Train Loss: 0.0082, Train Acc: 0.9983
Batch [1300/8699], Train Loss: 0.0082, Train Acc: 0.9983
Batch [1400/8699], Train Loss: 0.0081, Train Acc: 0.9982
Batch [1500/8699], Train Loss: 0.0082, Train Acc: 0.9983
Batch [1600/8699], Train Loss: 0.0082, Train Acc: 0.9983
Batch [1700/8699], Train Loss: 0.0082, Train Acc: 0.9983
Batch [1800/8699], Train Loss: 0.0083, Train Acc: 0.9983
Batch [1900/8699], Train Loss: 0.0082, Train Acc: 0.9983
Batch [2000/8699], Train Loss: 0.0079, Train Acc: 0.9983
Batch [2100/8699], Train Loss: 0.0078, Train Acc: 0.9984
Batch [2200/8699], Train Loss: 0.0077, Train Acc: 0.9984
Batch [2300/8699], Train Loss: 0.0076, Train Acc: 0.9984
Batch [2400/8699], Train Loss: 0.0076, Train Acc: 0.9984
Batch [2500/8699], Train Loss: 0.0076, Train Acc: 0.9984
Batch [2600/8699], Train Loss: 0.0075, Train Acc: 0.9984
Batch [2700/8699], Train Loss: 0.0076, Train Acc: 0.9984
Batch [2800/8699], Train Loss: 0.0076, Train Acc: 0.9984
Batch [2900/8699], Train Loss: 0.0075, Train Acc: 0.9984
Batch [3000/8699], Train Loss: 0.0074, Train Acc: 0.9984
Batch [3100/8699], Train Loss: 0.0074, Train Acc: 0.9984
Batch [3200/8699], Train Loss: 0.0074, Train Acc: 0.9984
Batch [3300/8699], Train Loss: 0.0074, Train Acc: 0.9984
Batch [3400/8699], Train Loss: 0.0075, Train Acc: 0.9984
Batch [3500/8699], Train Loss: 0.0075, Train Acc: 0.9985
Batch [3600/8699], Train Loss: 0.0073, Train Acc: 0.9985
Batch [3700/8699], Train Loss: 0.0073, Train Acc: 0.9985
Batch [3800/8699], Train Loss: 0.0074, Train Acc: 0.9985
Batch [3900/8699], Train Loss: 0.0074, Train Acc: 0.9985
Batch [4000/8699], Train Loss: 0.0074, Train Acc: 0.9985
Batch [4100/8699], Train Loss: 0.0075, Train Acc: 0.9985
Batch [4200/8699], Train Loss: 0.0075, Train Acc: 0.9985
Batch [4300/8699], Train Loss: 0.0074, Train Acc: 0.9985
Batch [4400/8699], Train Loss: 0.0074, Train Acc: 0.9985
Batch [4500/8699], Train Loss: 0.0074, Train Acc: 0.9985
Batch [4600/8699], Train Loss: 0.0073, Train Acc: 0.9985
Batch [4700/8699], Train Loss: 0.0073, Train Acc: 0.9985
Batch [4800/8699], Train Loss: 0.0073, Train Acc: 0.9985
Batch [4900/8699], Train Loss: 0.0073, Train Acc: 0.9984
Batch [5000/8699], Train Loss: 0.0073, Train Acc: 0.9984
Batch [5100/8699], Train Loss: 0.0073, Train Acc: 0.9985
Batch [5200/8699], Train Loss: 0.0072, Train Acc: 0.9985
Batch [5300/8699], Train Loss: 0.0072, Train Acc: 0.9985
Batch [5400/8699], Train Loss: 0.0072, Train Acc: 0.9985
Batch [5500/8699], Train Loss: 0.0072, Train Acc: 0.9985
Batch [5600/8699], Train Loss: 0.0072, Train Acc: 0.9985
Batch [5700/8699], Train Loss: 0.0071, Train Acc: 0.9985
Batch [5800/8699], Train Loss: 0.0072, Train Acc: 0.9985
Batch [5900/8699], Train Loss: 0.0072, Train Acc: 0.9985
Batch [6000/8699], Train Loss: 0.0071, Train Acc: 0.9985
Batch [6100/8699], Train Loss: 0.0071, Train Acc: 0.9985
Batch [6200/8699], Train Loss: 0.0071, Train Acc: 0.9985
Batch [6300/8699], Train Loss: 0.0071, Train Acc: 0.9985
Batch [6400/8699], Train Loss: 0.0070, Train Acc: 0.9985
Batch [6500/8699], Train Loss: 0.0070, Train Acc: 0.9985
Batch [6600/8699], Train Loss: 0.0070, Train Acc: 0.9985
Batch [6700/8699], Train Loss: 0.0070, Train Acc: 0.9985
Batch [6800/8699], Train Loss: 0.0070, Train Acc: 0.9985
Batch [6900/8699], Train Loss: 0.0070, Train Acc: 0.9985
Batch [7000/8699], Train Loss: 0.0070, Train Acc: 0.9985
Batch [7100/8699], Train Loss: 0.0069, Train Acc: 0.9985
Batch [7200/8699], Train Loss: 0.0069, Train Acc: 0.9985
Batch [7300/8699], Train Loss: 0.0069, Train Acc: 0.9985
Batch [7400/8699], Train Loss: 0.0068, Train Acc: 0.9985
