cuda
Epoch 1/5
Batch [100/8699], Train Loss: 0.2829, Train Acc: 0.9645
Batch [200/8699], Train Loss: 0.1531, Train Acc: 0.9795
Batch [300/8699], Train Loss: 0.1081, Train Acc: 0.9852
Batch [400/8699], Train Loss: 0.0841, Train Acc: 0.9883
Batch [500/8699], Train Loss: 0.0715, Train Acc: 0.9899
Batch [600/8699], Train Loss: 0.0620, Train Acc: 0.9907
Batch [700/8699], Train Loss: 0.0544, Train Acc: 0.9917
Batch [800/8699], Train Loss: 0.0487, Train Acc: 0.9924
Batch [900/8699], Train Loss: 0.0444, Train Acc: 0.9931
Batch [1000/8699], Train Loss: 0.0413, Train Acc: 0.9934
Batch [1100/8699], Train Loss: 0.0386, Train Acc: 0.9938
Batch [1200/8699], Train Loss: 0.0361, Train Acc: 0.9941
Batch [1300/8699], Train Loss: 0.0339, Train Acc: 0.9944
Batch [1400/8699], Train Loss: 0.0324, Train Acc: 0.9947
Batch [1500/8699], Train Loss: 0.0307, Train Acc: 0.9949
Batch [1600/8699], Train Loss: 0.0295, Train Acc: 0.9951
Batch [1700/8699], Train Loss: 0.0281, Train Acc: 0.9953
Batch [1800/8699], Train Loss: 0.0268, Train Acc: 0.9955
Batch [1900/8699], Train Loss: 0.0261, Train Acc: 0.9956
Batch [2000/8699], Train Loss: 0.0253, Train Acc: 0.9957
Batch [2100/8699], Train Loss: 0.0243, Train Acc: 0.9958
Batch [2200/8699], Train Loss: 0.0236, Train Acc: 0.9959
Batch [2300/8699], Train Loss: 0.0230, Train Acc: 0.9960
Batch [2400/8699], Train Loss: 0.0226, Train Acc: 0.9961
Batch [2500/8699], Train Loss: 0.0219, Train Acc: 0.9962
Batch [2600/8699], Train Loss: 0.0216, Train Acc: 0.9962
Batch [2700/8699], Train Loss: 0.0212, Train Acc: 0.9962
Batch [2800/8699], Train Loss: 0.0208, Train Acc: 0.9963
Batch [2900/8699], Train Loss: 0.0204, Train Acc: 0.9963
Batch [3000/8699], Train Loss: 0.0200, Train Acc: 0.9964
Batch [3100/8699], Train Loss: 0.0198, Train Acc: 0.9964
Batch [3200/8699], Train Loss: 0.0194, Train Acc: 0.9965
Batch [3300/8699], Train Loss: 0.0190, Train Acc: 0.9965
Batch [3400/8699], Train Loss: 0.0187, Train Acc: 0.9966
Batch [3500/8699], Train Loss: 0.0185, Train Acc: 0.9966
Batch [3600/8699], Train Loss: 0.0182, Train Acc: 0.9966
Batch [3700/8699], Train Loss: 0.0179, Train Acc: 0.9967
Batch [3800/8699], Train Loss: 0.0176, Train Acc: 0.9967
Batch [3900/8699], Train Loss: 0.0174, Train Acc: 0.9968
Batch [4000/8699], Train Loss: 0.0171, Train Acc: 0.9968
Batch [4100/8699], Train Loss: 0.0169, Train Acc: 0.9968
