Epoch 1/5
Batch [100/8699], Train Loss: 0.3260, Train Acc: 0.9516
Batch [200/8699], Train Loss: 0.1887, Train Acc: 0.9673
Batch [300/8699], Train Loss: 0.1411, Train Acc: 0.9728
Batch [400/8699], Train Loss: 0.1161, Train Acc: 0.9765
Batch [500/8699], Train Loss: 0.0986, Train Acc: 0.9792
Batch [600/8699], Train Loss: 0.0880, Train Acc: 0.9808
Batch [700/8699], Train Loss: 0.0792, Train Acc: 0.9824
Batch [800/8699], Train Loss: 0.0715, Train Acc: 0.9838
Batch [900/8699], Train Loss: 0.0658, Train Acc: 0.9850
Batch [1000/8699], Train Loss: 0.0618, Train Acc: 0.9858
Batch [1100/8699], Train Loss: 0.0587, Train Acc: 0.9863
Batch [1200/8699], Train Loss: 0.0553, Train Acc: 0.9870
Batch [1300/8699], Train Loss: 0.0528, Train Acc: 0.9875
Batch [1400/8699], Train Loss: 0.0502, Train Acc: 0.9879
Batch [1500/8699], Train Loss: 0.0483, Train Acc: 0.9882
Batch [1600/8699], Train Loss: 0.0464, Train Acc: 0.9886
Batch [1700/8699], Train Loss: 0.0451, Train Acc: 0.9889
Batch [1800/8699], Train Loss: 0.0437, Train Acc: 0.9893
Batch [1900/8699], Train Loss: 0.0421, Train Acc: 0.9896
Batch [2000/8699], Train Loss: 0.0410, Train Acc: 0.9899
Batch [2100/8699], Train Loss: 0.0396, Train Acc: 0.9903
Batch [2200/8699], Train Loss: 0.0387, Train Acc: 0.9904
Batch [2300/8699], Train Loss: 0.0381, Train Acc: 0.9905
Batch [2400/8699], Train Loss: 0.0372, Train Acc: 0.9907
Batch [2500/8699], Train Loss: 0.0364, Train Acc: 0.9909
Batch [2600/8699], Train Loss: 0.0358, Train Acc: 0.9911
Batch [2700/8699], Train Loss: 0.0352, Train Acc: 0.9912
Batch [2800/8699], Train Loss: 0.0348, Train Acc: 0.9912
Batch [2900/8699], Train Loss: 0.0342, Train Acc: 0.9914
Batch [3000/8699], Train Loss: 0.0336, Train Acc: 0.9915
Batch [3100/8699], Train Loss: 0.0329, Train Acc: 0.9917
Batch [3200/8699], Train Loss: 0.0325, Train Acc: 0.9918
Batch [3300/8699], Train Loss: 0.0320, Train Acc: 0.9920
Batch [3400/8699], Train Loss: 0.0317, Train Acc: 0.9920
Batch [3500/8699], Train Loss: 0.0313, Train Acc: 0.9921
Batch [3600/8699], Train Loss: 0.0310, Train Acc: 0.9921
Batch [3700/8699], Train Loss: 0.0306, Train Acc: 0.9923
Batch [3800/8699], Train Loss: 0.0302, Train Acc: 0.9923
Batch [3900/8699], Train Loss: 0.0299, Train Acc: 0.9924
Batch [4000/8699], Train Loss: 0.0294, Train Acc: 0.9925
Batch [4100/8699], Train Loss: 0.0290, Train Acc: 0.9926
Batch [4200/8699], Train Loss: 0.0287, Train Acc: 0.9927
Batch [4300/8699], Train Loss: 0.0283, Train Acc: 0.9928
Batch [4400/8699], Train Loss: 0.0279, Train Acc: 0.9929
Batch [4500/8699], Train Loss: 0.0276, Train Acc: 0.9929
Batch [4600/8699], Train Loss: 0.0273, Train Acc: 0.9930
Batch [4700/8699], Train Loss: 0.0272, Train Acc: 0.9930
Batch [4800/8699], Train Loss: 0.0268, Train Acc: 0.9931
Batch [4900/8699], Train Loss: 0.0265, Train Acc: 0.9932
Batch [5000/8699], Train Loss: 0.0262, Train Acc: 0.9933
Batch [5100/8699], Train Loss: 0.0260, Train Acc: 0.9933
Batch [5200/8699], Train Loss: 0.0258, Train Acc: 0.9934
Batch [5300/8699], Train Loss: 0.0255, Train Acc: 0.9935
Batch [5400/8699], Train Loss: 0.0253, Train Acc: 0.9935
Batch [5500/8699], Train Loss: 0.0252, Train Acc: 0.9936
Batch [5600/8699], Train Loss: 0.0249, Train Acc: 0.9936
Batch [5700/8699], Train Loss: 0.0248, Train Acc: 0.9937
Batch [5800/8699], Train Loss: 0.0247, Train Acc: 0.9937
Batch [5900/8699], Train Loss: 0.0246, Train Acc: 0.9937
Batch [6000/8699], Train Loss: 0.0245, Train Acc: 0.9938
Batch [6100/8699], Train Loss: 0.0244, Train Acc: 0.9938
Batch [6200/8699], Train Loss: 0.0243, Train Acc: 0.9938
Batch [6300/8699], Train Loss: 0.0241, Train Acc: 0.9938
Batch [6400/8699], Train Loss: 0.0239, Train Acc: 0.9939
Batch [6500/8699], Train Loss: 0.0237, Train Acc: 0.9939
Batch [6600/8699], Train Loss: 0.0236, Train Acc: 0.9939
Batch [6700/8699], Train Loss: 0.0235, Train Acc: 0.9939
Batch [6800/8699], Train Loss: 0.0233, Train Acc: 0.9940
Batch [6900/8699], Train Loss: 0.0232, Train Acc: 0.9940
Batch [7000/8699], Train Loss: 0.0231, Train Acc: 0.9940
Batch [7100/8699], Train Loss: 0.0229, Train Acc: 0.9941
Batch [7200/8699], Train Loss: 0.0228, Train Acc: 0.9941
Batch [7300/8699], Train Loss: 0.0226, Train Acc: 0.9942
Batch [7400/8699], Train Loss: 0.0225, Train Acc: 0.9942
Batch [7500/8699], Train Loss: 0.0224, Train Acc: 0.9942
Batch [7600/8699], Train Loss: 0.0223, Train Acc: 0.9943
Batch [7700/8699], Train Loss: 0.0221, Train Acc: 0.9943
Batch [7800/8699], Train Loss: 0.0220, Train Acc: 0.9943
Batch [7900/8699], Train Loss: 0.0219, Train Acc: 0.9944
Batch [8000/8699], Train Loss: 0.0218, Train Acc: 0.9944
Batch [8100/8699], Train Loss: 0.0217, Train Acc: 0.9945
Batch [8200/8699], Train Loss: 0.0216, Train Acc: 0.9945
Batch [8300/8699], Train Loss: 0.0214, Train Acc: 0.9945
Batch [8400/8699], Train Loss: 0.0213, Train Acc: 0.9945
Batch [8500/8699], Train Loss: 0.0212, Train Acc: 0.9946
Batch [8600/8699], Train Loss: 0.0211, Train Acc: 0.9946
Train Loss: 0.0210, Train Acc: 0.9946
Test Accuracy: 0.9976
Confusion Matrix:
[[71721   158]
 [  170 67122]]
Saved the new best model to ../data/models/80_20_split/pklot_all_mobilenet_None.pth
Epoch time: 28.0388 minutes and 2.3288 seconds
Epoch 2/5
Batch [100/8699], Train Loss: 0.0115, Train Acc: 0.9977
Batch [200/8699], Train Loss: 0.0119, Train Acc: 0.9977
Batch [300/8699], Train Loss: 0.0118, Train Acc: 0.9974
Batch [400/8699], Train Loss: 0.0125, Train Acc: 0.9973
Batch [500/8699], Train Loss: 0.0123, Train Acc: 0.9972
Batch [600/8699], Train Loss: 0.0119, Train Acc: 0.9974
Batch [700/8699], Train Loss: 0.0116, Train Acc: 0.9976
Batch [800/8699], Train Loss: 0.0119, Train Acc: 0.9973
Batch [900/8699], Train Loss: 0.0114, Train Acc: 0.9974
Batch [1000/8699], Train Loss: 0.0118, Train Acc: 0.9973
Batch [1100/8699], Train Loss: 0.0120, Train Acc: 0.9973
Batch [1200/8699], Train Loss: 0.0120, Train Acc: 0.9972
Batch [1300/8699], Train Loss: 0.0118, Train Acc: 0.9972
Batch [1400/8699], Train Loss: 0.0116, Train Acc: 0.9972
Batch [1500/8699], Train Loss: 0.0117, Train Acc: 0.9972
Batch [1600/8699], Train Loss: 0.0114, Train Acc: 0.9973
Batch [1700/8699], Train Loss: 0.0116, Train Acc: 0.9973
Batch [1800/8699], Train Loss: 0.0115, Train Acc: 0.9972
Batch [1900/8699], Train Loss: 0.0114, Train Acc: 0.9973
Batch [2000/8699], Train Loss: 0.0112, Train Acc: 0.9973
Batch [2100/8699], Train Loss: 0.0112, Train Acc: 0.9973
Batch [2200/8699], Train Loss: 0.0113, Train Acc: 0.9973
Batch [2300/8699], Train Loss: 0.0117, Train Acc: 0.9973
Batch [2400/8699], Train Loss: 0.0118, Train Acc: 0.9973
Batch [2500/8699], Train Loss: 0.0117, Train Acc: 0.9973
Batch [2600/8699], Train Loss: 0.0116, Train Acc: 0.9973
Batch [2700/8699], Train Loss: 0.0114, Train Acc: 0.9974
Batch [2800/8699], Train Loss: 0.0114, Train Acc: 0.9974
Batch [2900/8699], Train Loss: 0.0114, Train Acc: 0.9974
Batch [3000/8699], Train Loss: 0.0114, Train Acc: 0.9974
Batch [3100/8699], Train Loss: 0.0112, Train Acc: 0.9974
Batch [3200/8699], Train Loss: 0.0111, Train Acc: 0.9974
Batch [3300/8699], Train Loss: 0.0110, Train Acc: 0.9974
Batch [3400/8699], Train Loss: 0.0112, Train Acc: 0.9974
Batch [3500/8699], Train Loss: 0.0112, Train Acc: 0.9974
Batch [3600/8699], Train Loss: 0.0111, Train Acc: 0.9974
Batch [3700/8699], Train Loss: 0.0110, Train Acc: 0.9974
Batch [3800/8699], Train Loss: 0.0109, Train Acc: 0.9975
Batch [3900/8699], Train Loss: 0.0109, Train Acc: 0.9975
Batch [4000/8699], Train Loss: 0.0108, Train Acc: 0.9975
Batch [4100/8699], Train Loss: 0.0108, Train Acc: 0.9975
Batch [4200/8699], Train Loss: 0.0107, Train Acc: 0.9975
Batch [4300/8699], Train Loss: 0.0107, Train Acc: 0.9975
Batch [4400/8699], Train Loss: 0.0107, Train Acc: 0.9975
Batch [4500/8699], Train Loss: 0.0106, Train Acc: 0.9975
Batch [4600/8699], Train Loss: 0.0105, Train Acc: 0.9976
Batch [4700/8699], Train Loss: 0.0104, Train Acc: 0.9976
Batch [4800/8699], Train Loss: 0.0103, Train Acc: 0.9976
Batch [4900/8699], Train Loss: 0.0102, Train Acc: 0.9977
Batch [5000/8699], Train Loss: 0.0102, Train Acc: 0.9977
Batch [5100/8699], Train Loss: 0.0101, Train Acc: 0.9977
Batch [5200/8699], Train Loss: 0.0102, Train Acc: 0.9977
Batch [5300/8699], Train Loss: 0.0101, Train Acc: 0.9977
Batch [5400/8699], Train Loss: 0.0101, Train Acc: 0.9977
Batch [5500/8699], Train Loss: 0.0101, Train Acc: 0.9977
Batch [5600/8699], Train Loss: 0.0101, Train Acc: 0.9977
Batch [5700/8699], Train Loss: 0.0101, Train Acc: 0.9977
Batch [5800/8699], Train Loss: 0.0100, Train Acc: 0.9977
Batch [5900/8699], Train Loss: 0.0101, Train Acc: 0.9977
Batch [6000/8699], Train Loss: 0.0100, Train Acc: 0.9977
Batch [6100/8699], Train Loss: 0.0100, Train Acc: 0.9977
Batch [6200/8699], Train Loss: 0.0099, Train Acc: 0.9977
Batch [6300/8699], Train Loss: 0.0100, Train Acc: 0.9977
Batch [6400/8699], Train Loss: 0.0099, Train Acc: 0.9977
Batch [6500/8699], Train Loss: 0.0099, Train Acc: 0.9977
Batch [6600/8699], Train Loss: 0.0100, Train Acc: 0.9977
Batch [6700/8699], Train Loss: 0.0099, Train Acc: 0.9977
Batch [6800/8699], Train Loss: 0.0098, Train Acc: 0.9977
Batch [6900/8699], Train Loss: 0.0099, Train Acc: 0.9977
Batch [7000/8699], Train Loss: 0.0099, Train Acc: 0.9977
Batch [7100/8699], Train Loss: 0.0098, Train Acc: 0.9977
Batch [7200/8699], Train Loss: 0.0097, Train Acc: 0.9978
Batch [7300/8699], Train Loss: 0.0097, Train Acc: 0.9978
Batch [7400/8699], Train Loss: 0.0097, Train Acc: 0.9978
Batch [7500/8699], Train Loss: 0.0097, Train Acc: 0.9978
Batch [7600/8699], Train Loss: 0.0097, Train Acc: 0.9978
Batch [7700/8699], Train Loss: 0.0096, Train Acc: 0.9978
Batch [7800/8699], Train Loss: 0.0096, Train Acc: 0.9978
Batch [7900/8699], Train Loss: 0.0095, Train Acc: 0.9978
Batch [8000/8699], Train Loss: 0.0095, Train Acc: 0.9978
Batch [8100/8699], Train Loss: 0.0094, Train Acc: 0.9978
Batch [8200/8699], Train Loss: 0.0094, Train Acc: 0.9978
Batch [8300/8699], Train Loss: 0.0094, Train Acc: 0.9978
Batch [8400/8699], Train Loss: 0.0096, Train Acc: 0.9978
Batch [8500/8699], Train Loss: 0.0095, Train Acc: 0.9978
Batch [8600/8699], Train Loss: 0.0096, Train Acc: 0.9978
Train Loss: 0.0095, Train Acc: 0.9978
Test Accuracy: 0.9987
Confusion Matrix:
[[71777   102]
 [   72 67220]]
Saved the new best model to ../data/models/80_20_split/pklot_all_mobilenet_None.pth
Epoch time: 57.5229 minutes and 31.3765 seconds
Epoch 3/5
Batch [100/8699], Train Loss: 0.0087, Train Acc: 0.9991
Batch [200/8699], Train Loss: 0.0068, Train Acc: 0.9987
Batch [300/8699], Train Loss: 0.0064, Train Acc: 0.9986
Batch [400/8699], Train Loss: 0.0072, Train Acc: 0.9983
Batch [500/8699], Train Loss: 0.0073, Train Acc: 0.9983
Batch [600/8699], Train Loss: 0.0080, Train Acc: 0.9983
Batch [700/8699], Train Loss: 0.0084, Train Acc: 0.9982
Batch [800/8699], Train Loss: 0.0080, Train Acc: 0.9983
Batch [900/8699], Train Loss: 0.0080, Train Acc: 0.9983
Batch [1000/8699], Train Loss: 0.0075, Train Acc: 0.9984
Batch [1100/8699], Train Loss: 0.0076, Train Acc: 0.9984
Batch [1200/8699], Train Loss: 0.0076, Train Acc: 0.9983
Batch [1300/8699], Train Loss: 0.0077, Train Acc: 0.9984
