Epoch 1/5
Batch [100/8699], Train Loss: 1.0668, Train Acc: 0.5147
Batch [200/8699], Train Loss: 0.9051, Train Acc: 0.5112
Batch [300/8699], Train Loss: 0.7730, Train Acc: 0.5832
Batch [400/8699], Train Loss: 0.6186, Train Acc: 0.6735
Batch [500/8699], Train Loss: 0.5152, Train Acc: 0.7324
Batch [600/8699], Train Loss: 0.4413, Train Acc: 0.7734
Batch [700/8699], Train Loss: 0.3861, Train Acc: 0.8030
Batch [800/8699], Train Loss: 0.3445, Train Acc: 0.8254
Batch [900/8699], Train Loss: 0.3108, Train Acc: 0.8435
Batch [1000/8699], Train Loss: 0.2856, Train Acc: 0.8573
Batch [1100/8699], Train Loss: 0.2673, Train Acc: 0.8678
Batch [1200/8699], Train Loss: 0.2492, Train Acc: 0.8776
Batch [1300/8699], Train Loss: 0.2335, Train Acc: 0.8859
Batch [1400/8699], Train Loss: 0.2200, Train Acc: 0.8932
Batch [1500/8699], Train Loss: 0.2084, Train Acc: 0.8993
Batch [1600/8699], Train Loss: 0.1986, Train Acc: 0.9046
Batch [1700/8699], Train Loss: 0.1894, Train Acc: 0.9094
Batch [1800/8699], Train Loss: 0.1812, Train Acc: 0.9137
Batch [1900/8699], Train Loss: 0.1734, Train Acc: 0.9177
Batch [2000/8699], Train Loss: 0.1669, Train Acc: 0.9212
Batch [2100/8699], Train Loss: 0.1608, Train Acc: 0.9244
Batch [2200/8699], Train Loss: 0.1549, Train Acc: 0.9274
Batch [2300/8699], Train Loss: 0.1495, Train Acc: 0.9302
Batch [2400/8699], Train Loss: 0.1447, Train Acc: 0.9327
Batch [2500/8699], Train Loss: 0.1399, Train Acc: 0.9351
Batch [2600/8699], Train Loss: 0.1361, Train Acc: 0.9371
Batch [2700/8699], Train Loss: 0.1324, Train Acc: 0.9390
Batch [2800/8699], Train Loss: 0.1286, Train Acc: 0.9410
Batch [2900/8699], Train Loss: 0.1251, Train Acc: 0.9427
Batch [3000/8699], Train Loss: 0.1219, Train Acc: 0.9443
Batch [3100/8699], Train Loss: 0.1188, Train Acc: 0.9459
Batch [3200/8699], Train Loss: 0.1161, Train Acc: 0.9473
Batch [3300/8699], Train Loss: 0.1134, Train Acc: 0.9486
Batch [3400/8699], Train Loss: 0.1111, Train Acc: 0.9498
Batch [3500/8699], Train Loss: 0.1090, Train Acc: 0.9509
Batch [3600/8699], Train Loss: 0.1068, Train Acc: 0.9520
Batch [3700/8699], Train Loss: 0.1046, Train Acc: 0.9531
Batch [3800/8699], Train Loss: 0.1026, Train Acc: 0.9542
Batch [3900/8699], Train Loss: 0.1007, Train Acc: 0.9552
Batch [4000/8699], Train Loss: 0.0988, Train Acc: 0.9561
Batch [4100/8699], Train Loss: 0.0972, Train Acc: 0.9570
Batch [4200/8699], Train Loss: 0.0956, Train Acc: 0.9578
Batch [4300/8699], Train Loss: 0.0939, Train Acc: 0.9586
Batch [4400/8699], Train Loss: 0.0925, Train Acc: 0.9593
Batch [4500/8699], Train Loss: 0.0909, Train Acc: 0.9600
Batch [4600/8699], Train Loss: 0.0901, Train Acc: 0.9606
Batch [4700/8699], Train Loss: 0.0886, Train Acc: 0.9613
Batch [4800/8699], Train Loss: 0.0873, Train Acc: 0.9620
Batch [4900/8699], Train Loss: 0.0860, Train Acc: 0.9626
Batch [5000/8699], Train Loss: 0.0853, Train Acc: 0.9631
Batch [5100/8699], Train Loss: 0.0843, Train Acc: 0.9636
Batch [5200/8699], Train Loss: 0.0831, Train Acc: 0.9642
Batch [5300/8699], Train Loss: 0.0820, Train Acc: 0.9647
Batch [5400/8699], Train Loss: 0.0809, Train Acc: 0.9653
Batch [5500/8699], Train Loss: 0.0799, Train Acc: 0.9658
