Train Dataset,Train View,Train Model,Test Dataset,Test View,Accuracy,F1,ROC AUC,True Positives,False Positives,True Negatives,False Negatives
pklot,all_cloudy,mobilenet,pklot,ufpr04_rainy,1.0,1.0,1.0,245,0,551,0
pklot,all,mobilenet,pklot,ufpr04_rainy,1.0,1.0,1.0,245,0,551,0
pklot,all_rainy,mobilenet,pklot,ufpr04_rainy,1.0,1.0,1.0,245,0,551,0
pklot,all,shufflenet,pklot,ufpr04_rainy,1.0,1.0,1.0,245,0,551,0
pklot,all_sunny,mobilenet,pklot,ufpr04_rainy,1.0,1.0,1.0,245,0,551,0
pklot,ufpr04_cloudy,mobilenet,pklot,ufpr04_rainy,1.0,1.0,1.0,245,0,551,0
pklot,ufpr04,mobilenet,pklot,ufpr04_rainy,1.0,1.0,1.0,245,0,551,0
pklot,ufpr04_rainy,mobilenet,pklot,ufpr04_rainy,1.0,1.0,1.0,245,0,551,0
pklot,ufpr04_rainy,shufflenet,pklot,ufpr04_rainy,1.0,1.0,1.0,245,0,551,0
pklot,ufpr04_sunny,mobilenet,pklot,ufpr04_rainy,1.0,1.0,1.0,245,0,551,0
pklot,ufpr04_sunny,shufflenet,pklot,ufpr04_rainy,1.0,1.0,1.0,245,0,551,0
pklot,all,mobilenet,pklot,ufpr04,0.9999055266887105,0.9998924384209961,0.999892449989245,4648,0,5936,1
pklot,all_cloudy,mobilenet,pklot,puc_cloudy,0.9998493749058593,0.9997624703087886,0.9997625267157445,4209,0,9067,2
pklot,all,mobilenet,pklot,puc_cloudy,0.9998493749058593,0.9997624703087886,0.9997625267157445,4209,0,9067,2
pklot,all_rainy,mobilenet,pklot,puc_cloudy,0.9998493749058593,0.9997624703087886,0.9997625267157445,4209,0,9067,2
pklot,all,shufflenet,pklot,puc_cloudy,0.9998493749058593,0.9997624703087886,0.9997625267157445,4209,0,9067,2
pklot,all_sunny,mobilenet,pklot,puc_cloudy,0.9998493749058593,0.9997624703087886,0.9997625267157445,4209,0,9067,2
pklot,puc_cloudy,shufflenet,pklot,puc_cloudy,0.9998493749058593,0.9997624703087886,0.9997625267157445,4209,0,9067,2
pklot,puc,mobilenet,pklot,puc_cloudy,0.9998493749058593,0.9997624703087886,0.9997625267157445,4209,0,9067,2
pklot,puc,shufflenet,pklot,puc_cloudy,0.9998493749058593,0.9997624703087886,0.9997625267157445,4209,0,9067,2
pklot,puc_sunny,shufflenet,pklot,puc_cloudy,0.9998493749058593,0.9997624703087886,0.9997625267157445,4209,0,9067,2
pklot,all_cloudy,shufflenet,pklot,puc_cloudy,0.999774062358789,0.9996437477734236,0.9997073816843118,4209,1,9066,2
pklot,all,mobilenet,pklot,ufpr04_cloudy,0.9997461284589998,0.9995739241585002,0.9995741056218058,1173,0,2765,1
pklot,all,shufflenet,pklot,ufpr04_cloudy,0.9997461284589998,0.9995739241585002,0.9995741056218058,1173,0,2765,1
pklot,ufpr04_cloudy,mobilenet,pklot,ufpr04_cloudy,0.9997461284589998,0.9995739241585002,0.9995741056218058,1173,0,2765,1
pklot,ufpr04_sunny,mobilenet,pklot,ufpr04_cloudy,0.9997461284589998,0.9995739241585002,0.9995741056218058,1173,0,2765,1
pklot,ufpr04_sunny,shufflenet,pklot,ufpr04_cloudy,0.9997461284589998,0.9995739241585002,0.9995741056218058,1173,0,2765,1
pklot,all_sunny,shufflenet,pklot,puc_cloudy,0.9996987498117186,0.9995249406175772,0.999588645042184,4208,1,9066,3
pklot,puc_cloudy,mobilenet,pklot,puc_cloudy,0.9996987498117186,0.9995248277500594,0.999525053431489,4207,0,9067,4
pklot,puc_sunny,mobilenet,pklot,puc_cloudy,0.9996987498117186,0.9995248277500594,0.999525053431489,4207,0,9067,4
pklot,all,mobilenet,pklot,puc_sunny,0.9996640913671482,0.9996375873673311,0.9996447142740466,9654,1,11178,6
pklot,all,shufflenet,pklot,puc_sunny,0.9996640913671482,0.9996375498368975,0.9996376811594203,9653,0,11179,7
pklot,all,shufflenet,pklot,all_cloudy,0.9996508684646941,0.9995442634157456,0.9995444710169685,8773,0,14133,8
