Train Dataset: pklot, Train View: all_cloudy, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 1.0
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 1.0
Train Dataset: pklot, Train View: all_rainy, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 1.0
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 1.0
Train Dataset: pklot, Train View: all_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 1.0
Train Dataset: pklot, Train View: ufpr04_cloudy, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 1.0
Train Dataset: pklot, Train View: ufpr04, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 1.0
Train Dataset: pklot, Train View: ufpr04_rainy, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 1.0
Train Dataset: pklot, Train View: ufpr04_rainy, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 1.0
Train Dataset: pklot, Train View: ufpr04_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 1.0
Train Dataset: pklot, Train View: ufpr04_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_rainy, Accuracy: 1.0
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04, Accuracy: 0.9999055266887105
Train Dataset: pklot, Train View: all_cloudy, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9998493749058593
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9998493749058593
Train Dataset: pklot, Train View: all_rainy, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9998493749058593
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9998493749058593
Train Dataset: pklot, Train View: all_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9998493749058593
Train Dataset: pklot, Train View: puc_cloudy, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9998493749058593
Train Dataset: pklot, Train View: puc, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9998493749058593
Train Dataset: pklot, Train View: puc, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9998493749058593
Train Dataset: pklot, Train View: puc_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9998493749058593
Train Dataset: pklot, Train View: all_cloudy, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.999774062358789
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_cloudy, Accuracy: 0.9997461284589998
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_cloudy, Accuracy: 0.9997461284589998
Train Dataset: pklot, Train View: ufpr04_cloudy, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_cloudy, Accuracy: 0.9997461284589998
Train Dataset: pklot, Train View: ufpr04_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_cloudy, Accuracy: 0.9997461284589998
Train Dataset: pklot, Train View: ufpr04_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_cloudy, Accuracy: 0.9997461284589998
Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9996987498117186
Train Dataset: pklot, Train View: puc_cloudy, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9996987498117186
Train Dataset: pklot, Train View: puc_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_cloudy, Accuracy: 0.9996987498117186
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_sunny, Accuracy: 0.9996640913671482
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_sunny, Accuracy: 0.9996640913671482
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: all_cloudy, Accuracy: 0.9996508684646941
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr05_cloudy, Accuracy: 0.9996489380375636
Train Dataset: pklot, Train View: ufpr05, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05_cloudy, Accuracy: 0.9996489380375636
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: puc, Accuracy: 0.9996228460976357
Train Dataset: pklot, Train View: all_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: puc, Accuracy: 0.9996228460976357
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04, Accuracy: 0.9996221067548418
Train Dataset: pklot, Train View: ufpr04_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04, Accuracy: 0.9996221067548418
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: puc, Accuracy: 0.9995992739787379
Train Dataset: pklot, Train View: all_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_sunny, Accuracy: 0.9995681174720477
Train Dataset: pklot, Train View: all, Train Model: mobilenet, Test Dataset: pklot, Test View: all_cloudy, Accuracy: 0.9995635855808676
Train Dataset: pklot, Train View: puc, Train Model: shufflenet, Test Dataset: pklot, Test View: puc, Accuracy: 0.9995521297409424
Train Dataset: pklot, Train View: all_cloudy, Train Model: mobilenet, Test Dataset: pklot, Test View: all_cloudy, Accuracy: 0.9995199441389544
Train Dataset: pklot, Train View: puc, Train Model: mobilenet, Test Dataset: pklot, Test View: puc, Accuracy: 0.9995049855031469
Train Dataset: pklot, Train View: all_cloudy, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_cloudy, Accuracy: 0.9994922569179995
Train Dataset: pklot, Train View: all_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_cloudy, Accuracy: 0.9994922569179995
Train Dataset: pklot, Train View: ufpr04_cloudy, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr04_cloudy, Accuracy: 0.9994922569179995
Train Dataset: pklot, Train View: ufpr04, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04_cloudy, Accuracy: 0.9994922569179995
Train Dataset: pklot, Train View: all_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: all_cloudy, Accuracy: 0.9994763026970411
Train Dataset: pklot, Train View: all, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05_cloudy, Accuracy: 0.9994734070563455
Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: ufpr05_cloudy, Accuracy: 0.9994734070563455
Train Dataset: pklot, Train View: puc, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_sunny, Accuracy: 0.999472143576947
Train Dataset: pklot, Train View: puc_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_sunny, Accuracy: 0.999472143576947
Train Dataset: pklot, Train View: all_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: ufpr04, Accuracy: 0.9994331601322627
Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: puc_sunny, Accuracy: 0.9994241566293968
Train Dataset: pklot, Train View: puc, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_sunny, Accuracy: 0.9994241566293968
Train Dataset: pklot, Train View: puc_sunny, Train Model: mobilenet, Test Dataset: pklot, Test View: puc_sunny, Accuracy: 0.9994241566293968
Train Dataset: pklot, Train View: all_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: puc, Accuracy: 0.999387124908658
Train Dataset: pklot, Train View: puc_sunny, Train Model: shufflenet, Test Dataset: pklot, Test View: puc, Accuracy: 0.9993399806708625
